pipeline,query_id,query,rank,document_id,similarity,relevant,P@5,Recall@5,RR
A Minimal,Q1,MRI diagnostic imaging,1,D17054,0.46284431155763994,False,0.0,0.0,5.8241118229470004e-05
A Minimal,Q1,MRI diagnostic imaging,2,D11697,0.24145717503488143,False,0.0,0.0,5.8241118229470004e-05
A Minimal,Q1,MRI diagnostic imaging,3,D19561,0.20381294631079794,False,0.0,0.0,5.8241118229470004e-05
A Minimal,Q1,MRI diagnostic imaging,4,D29972,0.19896443680631398,False,0.0,0.0,5.8241118229470004e-05
A Minimal,Q1,MRI diagnostic imaging,5,D18221,0.19507999393475312,False,0.0,0.0,5.8241118229470004e-05
A Minimal,Q2,text categorization,1,D19205,0.1883742841490148,False,0.0,0.0,8.319467554076539e-05
A Minimal,Q2,text categorization,2,D17723,0.1573950582084898,False,0.0,0.0,8.319467554076539e-05
A Minimal,Q2,text categorization,3,D21499,0.15487958669849067,False,0.0,0.0,8.319467554076539e-05
A Minimal,Q2,text categorization,4,D17041,0.14781991108079245,False,0.0,0.0,8.319467554076539e-05
A Minimal,Q2,text categorization,5,D19207,0.14033875691551526,False,0.0,0.0,8.319467554076539e-05
A Minimal,Q3,clinical outcome prediction,1,D06273,0.3006642069366397,False,0.0,0.0,0.00019179133103183735
A Minimal,Q3,clinical outcome prediction,2,D02550,0.2923068253348385,False,0.0,0.0,0.00019179133103183735
A Minimal,Q3,clinical outcome prediction,3,D04652,0.25699912617414805,False,0.0,0.0,0.00019179133103183735
A Minimal,Q3,clinical outcome prediction,4,D06035,0.25018333796295983,False,0.0,0.0,0.00019179133103183735
A Minimal,Q3,clinical outcome prediction,5,D14091,0.21744883145242402,False,0.0,0.0,0.00019179133103183735
A Minimal,Q4,natural language processing,1,D25428,0.36226555518717246,False,0.0,0.0,0.0001258970162407151
A Minimal,Q4,natural language processing,2,D08705,0.34178868909750415,False,0.0,0.0,0.0001258970162407151
A Minimal,Q4,natural language processing,3,D04075,0.2890397295926817,False,0.0,0.0,0.0001258970162407151
A Minimal,Q4,natural language processing,4,D05699,0.28291472417516345,False,0.0,0.0,0.0001258970162407151
A Minimal,Q4,natural language processing,5,D00701,0.2804854931140671,False,0.0,0.0,0.0001258970162407151
A Minimal,Q5,barbecue cooking class,1,D26462,0.3354187986676766,False,0.0,0.0,0.0005763688760806917
A Minimal,Q5,barbecue cooking class,2,D24297,0.2956318904927356,False,0.0,0.0,0.0005763688760806917
A Minimal,Q5,barbecue cooking class,3,D02532,0.2646555334276769,False,0.0,0.0,0.0005763688760806917
A Minimal,Q5,barbecue cooking class,4,D11238,0.2580552231404577,False,0.0,0.0,0.0005763688760806917
A Minimal,Q5,barbecue cooking class,5,D25248,0.22136638545417053,False,0.0,0.0,0.0005763688760806917
A Minimal,Q6,wild garlic pesto shrimp pasta,1,D01287,0.7381282249718093,False,0.0,0.0,0.0005282620179609086
A Minimal,Q6,wild garlic pesto shrimp pasta,2,D01429,0.30455895210034334,False,0.0,0.0,0.0005282620179609086
A Minimal,Q6,wild garlic pesto shrimp pasta,3,D25296,0.29438139135186214,False,0.0,0.0,0.0005282620179609086
A Minimal,Q6,wild garlic pesto shrimp pasta,4,D29310,0.23480413705468178,False,0.0,0.0,0.0005282620179609086
A Minimal,Q6,wild garlic pesto shrimp pasta,5,D11271,0.2300723036583188,False,0.0,0.0,0.0005282620179609086
A Minimal,Q7,Chateau Latour 1996 wine,1,D19838,0.2786723817860909,False,0.0,0.0,0.00010306090899721736
A Minimal,Q7,Chateau Latour 1996 wine,2,D13871,0.2729543014612573,False,0.0,0.0,0.00010306090899721736
A Minimal,Q7,Chateau Latour 1996 wine,3,D18870,0.25205337461270266,False,0.0,0.0,0.00010306090899721736
A Minimal,Q7,Chateau Latour 1996 wine,4,D22839,0.22787356460348818,False,0.0,0.0,0.00010306090899721736
A Minimal,Q7,Chateau Latour 1996 wine,5,D20183,0.22676750461098025,False,0.0,0.0,0.00010306090899721736
A Minimal,Q8,carpenter ant identification,1,D25010,0.5931851554013371,False,0.0,0.0,3.775151949865982e-05
A Minimal,Q8,carpenter ant identification,2,D26461,0.4973601902960614,False,0.0,0.0,3.775151949865982e-05
A Minimal,Q8,carpenter ant identification,3,D29569,0.33433366421542215,False,0.0,0.0,3.775151949865982e-05
A Minimal,Q8,carpenter ant identification,4,D12490,0.27008426697364235,False,0.0,0.0,3.775151949865982e-05
A Minimal,Q8,carpenter ant identification,5,D21792,0.16892847729250607,False,0.0,0.0,3.775151949865982e-05
A Minimal,Q9,image overlay manipulation,1,D27935,0.37759456124103064,False,0.0,0.0,3.569898614879337e-05
A Minimal,Q9,image overlay manipulation,2,D19908,0.1986900171224245,False,0.0,0.0,3.569898614879337e-05
A Minimal,Q9,image overlay manipulation,3,D17794,0.18856089677827834,False,0.0,0.0,3.569898614879337e-05
A Minimal,Q9,image overlay manipulation,4,D15682,0.18265158149345934,False,0.0,0.0,3.569898614879337e-05
A Minimal,Q9,image overlay manipulation,5,D12982,0.17644593617966634,False,0.0,0.0,3.569898614879337e-05
A Minimal,Q10,wildflower wall hanging kit,1,D18970,0.26805497626793356,False,0.0,0.0,5.1448268765756035e-05
A Minimal,Q10,wildflower wall hanging kit,2,D14833,0.2053899249100222,False,0.0,0.0,5.1448268765756035e-05
A Minimal,Q10,wildflower wall hanging kit,3,D22896,0.19190432199634982,False,0.0,0.0,5.1448268765756035e-05
A Minimal,Q10,wildflower wall hanging kit,4,D21334,0.18574646551005886,False,0.0,0.0,5.1448268765756035e-05
A Minimal,Q10,wildflower wall hanging kit,5,D14301,0.16784633459844076,False,0.0,0.0,5.1448268765756035e-05
B Normalized,Q1,MRI diagnostic imaging,1,D17054,0.4918491003107939,False,0.0,0.0,5.8241118229470004e-05
B Normalized,Q1,MRI diagnostic imaging,2,D11697,0.24915042601869822,False,0.0,0.0,5.8241118229470004e-05
B Normalized,Q1,MRI diagnostic imaging,3,D29972,0.21571609251240412,False,0.0,0.0,5.8241118229470004e-05
B Normalized,Q1,MRI diagnostic imaging,4,D19561,0.2060688223540677,False,0.0,0.0,5.8241118229470004e-05
B Normalized,Q1,MRI diagnostic imaging,5,D18221,0.19876206215413295,False,0.0,0.0,5.8241118229470004e-05
B Normalized,Q2,text categorization,1,D19205,0.19893952136410623,False,0.0,0.0,8.319467554076539e-05
B Normalized,Q2,text categorization,2,D17723,0.16489548102907323,False,0.0,0.0,8.319467554076539e-05
B Normalized,Q2,text categorization,3,D21499,0.16395122336835977,False,0.0,0.0,8.319467554076539e-05
B Normalized,Q2,text categorization,4,D17041,0.1614762126472555,False,0.0,0.0,8.319467554076539e-05
B Normalized,Q2,text categorization,5,D19207,0.15636619228433193,False,0.0,0.0,8.319467554076539e-05
B Normalized,Q3,clinical outcome prediction,1,D02550,0.30978113272298347,False,0.0,0.0,0.00019179133103183735
B Normalized,Q3,clinical outcome prediction,2,D06273,0.3089272179139461,False,0.0,0.0,0.00019179133103183735
B Normalized,Q3,clinical outcome prediction,3,D04652,0.26716624215432183,False,0.0,0.0,0.00019179133103183735
